Function,Seed,KPSA,PSO,Crisis
Sphere,0,0.09359276014081944,0.0016867369149477897,4
Sphere,1,0.11046160393968849,0.0004217105187148976,3
Sphere,2,0.11133572627086674,6.655396407962651e-05,3
Sphere,3,0.09827050475135796,0.0016158290465166255,4
Sphere,4,0.05917011674393485,0.000261057128467321,3
Sphere,5,0.18119959718645479,0.0002639826588061531,2
Sphere,6,0.11780241622191868,0.0009144635504489114,4
Sphere,7,0.08544649308388977,0.00010099448972395067,2
Sphere,8,0.09237445510634422,0.0010286627222587839,1
Sphere,9,0.11351896027200435,9.813471059631994e-05,4
Sphere,10,0.2027287844850099,10000.000334042214,5
Sphere,11,0.09957499432893092,0.0012498224069615149,3
Sphere,12,0.1342519761644098,0.03213184956899814,5
Sphere,13,0.13744911837630563,0.0008423161809707412,5
Sphere,14,0.06899398083313638,0.0046892062791774125,3
Sphere,15,0.1195269565322028,0.0001289512783197422,2
Sphere,16,0.1321996723290528,0.00027598966204103086,4
Sphere,17,0.12633581100715766,0.0005730117486922103,4
Sphere,18,0.2139676721951294,0.0019105188877382576,5
Sphere,19,0.11262225499152062,0.000112406782352343,4
Sphere,20,0.09068696472279632,0.00010090196061319996,1
Sphere,21,0.13070053752367608,0.0003958116948471127,3
Sphere,22,0.13058514789925402,0.00016828860745363101,1
Sphere,23,0.1307744667161394,0.013435952094795112,3
Sphere,24,0.16999553736640177,0.001969786491618697,2
Sphere,25,0.11754823286533983,0.000583240017090506,2
Sphere,26,0.17495028453728018,10000.000130158618,1
Sphere,27,0.2215802786509515,0.00042403607084742247,5
Sphere,28,0.09373729227973339,0.00196023472357495,4
Sphere,29,0.08306283527139414,0.0041342712738328,4
Rastrigin,0,58.740839420782976,135.45620964061726,4
Rastrigin,1,92.56896678459267,62.68251110529647,3
Rastrigin,2,34.925426742867785,91.53647111762905,7
Rastrigin,3,28.910486440951615,100.56419170864862,5
Rastrigin,4,65.72130006171662,71.63929334354066,5
Rastrigin,5,55.846436338491486,114.42334574065708,3
Rastrigin,6,50.80466798312909,88.56587166612903,4
Rastrigin,7,53.77669442785077,72.75189959239708,1
Rastrigin,8,48.85399062333008,40.84930583302787,4
Rastrigin,9,29.925325665758862,82.65709426766855,6
Rastrigin,10,39.84807705650093,141.2846332223074,2
Rastrigin,11,76.683025890268,104.56330429598975,2
Rastrigin,12,54.8189001662048,112.50212315340087,6
Rastrigin,13,51.80646862196386,149.38662520465826,4
Rastrigin,14,49.80696627769427,102.58171497607083,6
Rastrigin,15,38.87034128496549,121.45608903147928,5
Rastrigin,16,35.85395178241089,79.60602236892919,3
Rastrigin,17,83.63479879737577,137.45071068975122,3
Rastrigin,18,34.89392847936949,80.59163095630441,4
Rastrigin,19,56.82003149090758,122.5216768478499,3
Rastrigin,20,65.77870610559472,123.39541135032803,4
Rastrigin,21,54.83683596904146,139.44539328404028,4
Rastrigin,22,40.90112207412375,103.47744687568559,2
Rastrigin,23,42.851793756379266,116.57806013463917,0
Rastrigin,24,36.87529503784668,74.69275981356049,6
Rastrigin,25,42.83515621838956,112.51710394610973,6
Rastrigin,26,92.63581632639452,49.749831989430106,2
Rastrigin,27,38.91061133855487,154.28379317650192,5
Rastrigin,28,65.72992850729622,107.45529460626679,2
Rastrigin,29,36.87709986883624,93.52593538967395,4
Ackley,0,2.427479376264565,0.67145350856384,3
Ackley,1,0.49517074942257056,1.5095158977029155,2
Ackley,2,0.0979238788473542,1.7780369035244914,2
Ackley,3,0.1362023541022066,1.7780794229324717,6
Ackley,4,0.4293618643631274,1.646347461392399,2
Ackley,5,1.3444104083410093,1.8978460926901808,7
Ackley,6,0.08645382964263293,1.3413393913041713,2
Ackley,7,0.0833601571452971,2.88580688214255,6
Ackley,8,0.10085565626550563,2.322389778595625,6
Ackley,9,0.9710041266974199,1.3405058940649757,5
Ackley,10,0.44214338665607444,3.0267954709815332,3
Ackley,11,0.07493636014297822,2.5797317935479076,3
Ackley,12,0.9672986474717615,15.176399350133575,3
Ackley,13,0.09074458383784334,1.7780835347019068,4
Ackley,14,0.6204320157242376,0.07559625231562395,5
Ackley,15,0.09566018441934832,14.943697767022076,3
Ackley,16,0.09271893984826152,2.4961915513108726,2
Ackley,17,0.049384906058275835,0.029594613568911132,3
Ackley,18,0.1025223713820762,0.01662409718525426,3
Ackley,19,1.5239331527551987,2.2201459539848547,5
Ackley,20,0.18646425487765272,3.0938080720315893,3
